tod,ccmtype,room,region,ord,priority,ip,value,id
tod,ccmtype,room,region,ord,priority,ip,value,id
2023-10-12 13:29:06,FLOW.mNB,0,0,0,1,192.168.120.5,0,737777767
2023-10-13 09:13:00,FLOW.mNB,1,2,10,1,192.168.120.5,0,739724404
2023-10-13 09:14:00,FLOW.mNB,1,2,10,1,192.168.120.5,0.8,739725962
2023-10-13 09:14:00,FLOW.mNB,1,2,10,1,192.168.120.5,0.8,739725962
2023-10-13 09:15:00,FLOW.mNB,1,2,10,1,192.168.120.5,1.1,739727631
2023-10-13 09:15:00,FLOW.mNB,1,2,10,1,192.168.120.5,1.1,739727631
2023-10-13 09:16:01,FLOW.mNB,1,2,10,1,192.168.120.5,1.5,739729409
2023-10-13 09:16:01,FLOW.mNB,1,2,10,1,192.168.120.5,1.5,739729409
2023-10-13 09:17:00,FLOW.mNB,1,2,10,1,192.168.120.5,1.7,739731056
2023-10-13 09:17:00,FLOW.mNB,1,2,10,1,192.168.120.5,1.7,739731056
2023-10-13 09:18:01,FLOW.mNB,1,2,10,1,192.168.120.5,1.9,739732760
2023-10-13 09:18:01,FLOW.mNB,1,2,10,1,192.168.120.5,1.9,739732760
2023-10-13 09:19:01,FLOW.mNB,1,2,10,1,192.168.120.5,2,739734368
2023-10-13 09:20:01,FLOW.mNB,1,2,10,1,192.168.120.5,2,739735974
2023-10-13 09:21:00,FLOW.mNB,1,2,10,1,192.168.120.5,2.2,739737534
2023-10-13 09:22:01,FLOW.mNB,1,2,10,1,192.168.120.5,2.2,739739233
2023-10-13 09:23:00,FLOW.mNB,1,2,10,1,192.168.120.5,2.4,739740818
2023-10-13 09:26:02,FLOW.mNB,1,2,10,1,192.168.120.5,2.4,739745709
2023-10-13 09:27:00,FLOW.mNB,1,2,10,1,192.168.120.5,2.6,739747222
2023-10-13 09:30:01,FLOW.mNB,1,2,10,1,192.168.120.5,2.6,739752380
2023-10-13 09:31:00,FLOW.mNB,1,2,10,1,192.168.120.5,2.8,739754079
2023-10-13 09:37:00,FLOW.mNB,1,2,10,1,192.168.120.5,2.8,739764201
2023-10-13 09:38:01,FLOW.mNB,1,2,10,1,192.168.120.5,2.9,739765929
2023-10-13 09:50:01,FLOW.mNB,1,2,10,1,192.168.120.5,2.9,739785549
2023-10-13 09:51:00,FLOW.mNB,1,2,10,1,192.168.120.5,3.1,739787131
2023-10-13 10:13:01,FLOW.mNB,1,2,10,1,192.168.120.5,3.1,739823522
2023-10-13 10:14:00,FLOW.mNB,1,2,10,1,192.168.120.5,3.3,739825089
2023-10-13 16:07:00,FLOW.mNB,1,2,10,1,192.168.120.5,3.3,740399907
2023-10-13 16:09:00,FLOW.mNB,1,2,10,1,192.168.120.5,0,740403023
2023-10-14 08:41:01,FLOW.mNB,1,2,10,1,192.168.120.5,0,742050474
2023-10-14 08:43:01,FLOW.mNB,1,2,10,1,192.168.120.5,0.7,742053746
2023-10-14 08:43:01,FLOW.mNB,1,2,10,1,192.168.120.5,0.7,742053746
2023-10-14 08:44:00,FLOW.mNB,1,2,10,1,192.168.120.5,1.1,742055429
2023-10-14 08:44:00,FLOW.mNB,1,2,10,1,192.168.120.5,1.1,742055429
2023-10-14 08:45:02,FLOW.mNB,1,2,10,1,192.168.120.5,1.3,742057216
2023-10-14 08:45:02,FLOW.mNB,1,2,10,1,192.168.120.5,1.3,742057216
2023-10-14 08:46:01,FLOW.mNB,1,2,10,1,192.168.120.5,1.5,742058879
2023-10-14 08:46:01,FLOW.mNB,1,2,10,1,192.168.120.5,1.5,742058879
2023-10-14 08:47:00,FLOW.mNB,1,2,10,1,192.168.120.5,1.7,742060485
2023-10-14 08:48:03,FLOW.mNB,1,2,10,1,192.168.120.5,1.7,742062217
2023-10-14 08:49:00,FLOW.mNB,1,2,10,1,192.168.120.5,1.8,742063737
2023-10-14 08:50:03,FLOW.mNB,1,2,10,1,192.168.120.5,1.8,742065462
2023-10-14 08:51:01,FLOW.mNB,1,2,10,1,192.168.120.5,2,742066979
2023-10-14 08:53:01,FLOW.mNB,1,2,10,1,192.168.120.5,2,742070356
2023-10-14 08:54:00,FLOW.mNB,1,2,10,1,192.168.120.5,2.2,742071972
2023-10-14 08:58:00,FLOW.mNB,1,2,10,1,192.168.120.5,2.2,742078664
2023-10-14 08:59:02,FLOW.mNB,1,2,10,1,192.168.120.5,2.4,742080449
2023-10-14 09:06:00,FLOW.mNB,1,2,10,1,192.168.120.5,2.4,742092295
2023-10-14 09:07:01,FLOW.mNB,1,2,10,1,192.168.120.5,2.6,742094009
2023-10-14 09:20:01,FLOW.mNB,1,2,10,1,192.168.120.5,2.6,742115511
2023-10-14 09:21:03,FLOW.mNB,1,2,10,1,192.168.120.5,2.7,742117199
2023-10-14 09:50:01,FLOW.mNB,1,2,10,1,192.168.120.5,2.7,742164819
2023-10-14 09:51:00,FLOW.mNB,1,2,10,1,192.168.120.5,2.9,742166464
2023-10-14 14:40:00,FLOW.mNB,1,2,10,1,192.168.120.5,2.9,742650867
2023-10-14 14:41:01,FLOW.mNB,1,2,10,1,192.168.120.5,3.1,742652590
2023-10-15 00:02:01,FLOW.mNB,1,2,10,15,192.168.120.5,3.1,743597384
2023-10-15 00:03:00,FLOW.mNB,1,2,10,15,192.168.120.5,0,743599039
2023-10-16 09:02:00,FLOW.mNB,1,2,10,15,192.168.120.5,0,746937411
2023-10-16 09:03:01,FLOW.mNB,1,2,10,15,192.168.120.5,0.2,746939158
2023-10-16 09:03:01,FLOW.mNB,1,2,10,15,192.168.120.5,0.2,746939158
2023-10-16 09:04:01,FLOW.mNB,1,2,10,15,192.168.120.5,0.6,746940863
2023-10-16 09:04:01,FLOW.mNB,1,2,10,15,192.168.120.5,0.6,746940863
2023-10-16 09:05:00,FLOW.mNB,1,2,10,15,192.168.120.5,0.9,746942522
2023-10-16 09:05:00,FLOW.mNB,1,2,10,15,192.168.120.5,0.9,746942522
2023-10-16 09:06:01,FLOW.mNB,1,2,10,15,192.168.120.5,1.1,746944283
2023-10-16 09:06:01,FLOW.mNB,1,2,10,15,192.168.120.5,1.1,746944283
2023-10-16 09:07:00,FLOW.mNB,1,2,10,15,192.168.120.5,1.3,746945966
2023-10-16 09:07:00,FLOW.mNB,1,2,10,15,192.168.120.5,1.3,746945966
2023-10-16 09:08:00,FLOW.mNB,1,2,10,15,192.168.120.5,1.5,746947631
2023-10-16 09:08:00,FLOW.mNB,1,2,10,15,192.168.120.5,1.5,746947631
2023-10-16 09:09:01,FLOW.mNB,1,2,10,15,192.168.120.5,1.7,746949314
2023-10-16 09:10:01,FLOW.mNB,1,2,10,15,192.168.120.5,1.7,746951026
2023-10-16 09:11:02,FLOW.mNB,1,2,10,15,192.168.120.5,1.8,746952729
2023-10-16 09:13:01,FLOW.mNB,1,2,10,15,192.168.120.5,1.8,746955988
2023-10-16 09:14:01,FLOW.mNB,1,2,10,15,192.168.120.5,2,746957685
2023-10-16 09:17:00,FLOW.mNB,1,2,10,15,192.168.120.5,2,746962765
2023-10-16 09:18:01,FLOW.mNB,1,2,10,15,192.168.120.5,2.2,746964509
2023-10-16 09:23:01,FLOW.mNB,1,2,10,15,192.168.120.5,2.2,746972950
2023-10-16 09:24:01,FLOW.mNB,1,2,10,15,192.168.120.5,2.4,746974640
2023-10-16 09:33:01,FLOW.mNB,1,2,10,15,192.168.120.5,2.4,746989771
2023-10-16 09:34:02,FLOW.mNB,1,2,10,15,192.168.120.5,2.6,746991507
2023-10-16 09:52:01,FLOW.mNB,1,2,10,15,192.168.120.5,2.6,747021756
2023-10-16 09:53:01,FLOW.mNB,1,2,10,15,192.168.120.5,2.7,747023443
2023-10-17 00:02:01,FLOW.mNB,1,2,10,15,192.168.120.5,2.7,748466934
2023-10-17 00:03:00,FLOW.mNB,1,2,10,15,192.168.120.5,0,748468592
2023-10-17 06:07:01,FLOW.mNB,1,2,10,15,192.168.120.5,0,749087563
2023-10-17 06:08:00,FLOW.mNB,1,2,10,15,192.168.120.5,0.2,749089248
2023-10-17 09:13:01,FLOW.mNB,1,2,10,15,192.168.120.5,0.2,749403000
2023-10-17 09:14:00,FLOW.mNB,1,2,10,15,192.168.120.5,0.6,749404695
2023-10-17 09:14:00,FLOW.mNB,1,2,10,15,192.168.120.5,0.6,749404695
2023-10-17 09:15:02,FLOW.mNB,1,2,10,15,192.168.120.5,0.7,749406415
2023-10-17 09:16:02,FLOW.mNB,1,2,10,15,192.168.120.5,0.7,749408156
2023-10-17 09:17:00,FLOW.mNB,1,2,10,15,192.168.120.5,0.9,749409777
2023-10-17 09:17:00,FLOW.mNB,1,2,10,15,192.168.120.5,0.9,749409777
2023-10-17 09:18:00,FLOW.mNB,1,2,10,15,192.168.120.5,1.1,749411508
2023-10-17 09:20:01,FLOW.mNB,1,2,10,15,192.168.120.5,1.1,749414952
2023-10-17 09:21:01,FLOW.mNB,1,2,10,15,192.168.120.5,1.3,749416697
2023-10-17 09:23:01,FLOW.mNB,1,2,10,15,192.168.120.5,1.3,749420046
2023-10-17 09:24:01,FLOW.mNB,1,2,10,15,192.168.120.5,1.5,749421757
2023-10-17 09:27:00,FLOW.mNB,1,2,10,15,192.168.120.5,1.5,749426783
2023-10-17 09:28:01,FLOW.mNB,1,2,10,15,192.168.120.5,1.6,749428538
2023-10-17 09:34:01,FLOW.mNB,1,2,10,15,192.168.120.5,1.6,749438798
2023-10-17 09:35:01,FLOW.mNB,1,2,10,15,192.168.120.5,1.8,749440548
2023-10-17 09:44:01,FLOW.mNB,1,2,10,15,192.168.120.5,1.8,749455594
2023-10-17 09:45:01,FLOW.mNB,1,2,10,15,192.168.120.5,2,749457296
2023-10-17 10:03:01,FLOW.mNB,1,2,10,15,192.168.120.5,2,749487857
2023-10-17 10:04:00,FLOW.mNB,1,2,10,15,192.168.120.5,2.2,749489551
2023-10-17 21:16:01,FLOW.mNB,1,2,10,15,192.168.120.5,2.2,750637439
2023-10-17 21:17:01,FLOW.mNB,1,2,10,15,192.168.120.5,2.4,750639169
2023-10-18 00:01:01,FLOW.mNB,1,2,10,15,192.168.120.5,2.4,750919761
2023-10-18 00:02:00,FLOW.mNB,1,2,10,15,192.168.120.5,0,750921223
2023-10-19 08:57:01,FLOW.mNB,1,2,10,15,192.168.120.5,0,754313879
2023-10-19 08:58:00,FLOW.mNB,1,2,10,15,192.168.120.5,0.2,754315591
2023-10-19 08:59:00,FLOW.mNB,1,2,10,15,192.168.120.5,0.2,754317327
2023-10-19 09:00:01,FLOW.mNB,1,2,10,15,192.168.120.5,0.4,754319069
2023-10-19 09:04:01,FLOW.mNB,1,2,10,15,192.168.120.5,0.4,754325968
2023-10-19 09:05:02,FLOW.mNB,1,2,10,15,192.168.120.5,0.6,754327706
2023-10-19 09:09:00,FLOW.mNB,1,2,10,15,192.168.120.5,0.6,754334530
2023-10-19 09:10:02,FLOW.mNB,1,2,10,15,192.168.120.5,0.7,754336252
2023-10-19 09:14:01,FLOW.mNB,1,2,10,15,192.168.120.5,0.7,754342912
2023-10-19 09:15:02,FLOW.mNB,1,2,10,15,192.168.120.5,0.9,754344597
2023-10-19 09:25:01,FLOW.mNB,1,2,10,15,192.168.120.5,0.9,754361646
2023-10-19 09:26:00,FLOW.mNB,1,2,10,15,192.168.120.5,1.1,754363328
2023-10-19 09:41:01,FLOW.mNB,1,2,10,15,192.168.120.5,1.1,754388918
2023-10-19 09:42:02,FLOW.mNB,1,2,10,15,192.168.120.5,1.3,754390596
2023-10-19 10:23:00,FLOW.mNB,1,2,10,15,192.168.120.5,1.3,754460547
2023-10-19 10:24:01,FLOW.mNB,1,2,10,15,192.168.120.5,1.5,754462291
2023-10-20 00:01:00,FLOW.mNB,1,2,10,15,192.168.120.5,1.5,755865905
2023-10-20 00:02:01,FLOW.mNB,1,2,10,15,192.168.120.5,0,755867423
2023-10-20 09:24:01,FLOW.mNB,1,2,10,15,192.168.120.5,0,756834687
2023-10-20 09:25:00,FLOW.mNB,1,2,10,15,192.168.120.5,0.2,756836434
2023-10-20 09:32:00,FLOW.mNB,1,2,10,15,192.168.120.5,0.2,756848499
2023-10-20 09:33:00,FLOW.mNB,1,2,10,15,192.168.120.5,0.4,756850207
2023-10-20 09:40:01,FLOW.mNB,1,2,10,15,192.168.120.5,0.4,756862296
2023-10-20 09:41:02,FLOW.mNB,1,2,10,15,192.168.120.5,0.6,756863994
2023-10-20 09:53:02,FLOW.mNB,1,2,10,15,192.168.120.5,0.6,756884516
2023-10-20 09:54:01,FLOW.mNB,1,2,10,15,192.168.120.5,0.7,756886193
2023-10-20 10:12:00,FLOW.mNB,1,2,10,15,192.168.120.5,0.7,756916926
2023-10-20 10:13:01,FLOW.mNB,1,2,10,15,192.168.120.5,0.9,756918672
2023-10-20 10:51:01,FLOW.mNB,1,2,10,15,192.168.120.5,0.9,756984198
2023-10-20 10:52:01,FLOW.mNB,1,2,10,15,192.168.120.5,1.1,756985893
2023-10-20 12:53:01,FLOW.mNB,1,2,10,15,192.168.120.5,1.1,757194556
2023-10-20 12:54:01,FLOW.mNB,1,2,10,15,192.168.120.5,1.3,757196259
2023-10-21 00:01:01,FLOW.mNB,1,2,10,15,192.168.120.5,1.3,758344532
2023-10-21 00:02:00,FLOW.mNB,1,2,10,15,192.168.120.5,0,758346020
2023-10-23 13:20:00,FLOW.mNB,1,2,10,15,192.168.120.5,0,764683985
2023-10-23 13:21:00,FLOW.mNB,1,2,10,15,192.168.120.5,0.4,764685726
2023-10-24 00:02:01,FLOW.mNB,1,2,10,15,192.168.120.5,0.4,765789225
2023-10-24 00:03:00,FLOW.mNB,1,2,10,15,192.168.120.5,0,765790907
2023-10-27 14:36:00,FLOW.mNB,1,2,10,15,192.168.120.5,0,774695622
2023-10-27 14:37:00,FLOW.mNB,1,2,10,15,192.168.120.5,0.4,774697337
2023-10-27 14:37:00,FLOW.mNB,1,2,10,15,192.168.120.5,0.4,774697337
2023-10-27 14:38:00,FLOW.mNB,1,2,10,15,192.168.120.5,1.1,774699080
2023-10-27 14:38:00,FLOW.mNB,1,2,10,15,192.168.120.5,1.1,774699080
2023-10-27 14:39:00,FLOW.mNB,1,2,10,15,192.168.120.5,1.5,774700790
2023-10-27 14:39:00,FLOW.mNB,1,2,10,15,192.168.120.5,1.5,774700790
2023-10-27 14:40:01,FLOW.mNB,1,2,10,15,192.168.120.5,1.7,774702546
2023-10-27 14:41:00,FLOW.mNB,1,2,10,15,192.168.120.5,1.7,774704244
2023-10-27 14:42:00,FLOW.mNB,1,2,10,15,192.168.120.5,1.9,774705934
2023-10-27 14:43:00,FLOW.mNB,1,2,10,15,192.168.120.5,1.9,774707631
2023-10-27 14:44:00,FLOW.mNB,1,2,10,15,192.168.120.5,2,774709365
2023-10-27 14:52:00,FLOW.mNB,1,2,10,15,192.168.120.5,2,774723137
2023-10-27 14:53:00,FLOW.mNB,1,2,10,15,192.168.120.5,2.2,774724825
2023-10-27 15:51:00,FLOW.mNB,1,2,10,15,192.168.120.5,2.2,774815789
2023-10-27 15:52:00,FLOW.mNB,1,2,10,15,192.168.120.5,2.4,774817367
2023-10-27 15:53:00,FLOW.mNB,1,2,10,15,192.168.120.5,2.4,774818899
2023-10-27 15:54:00,FLOW.mNB,1,2,10,15,192.168.120.5,2.6,774820480
2023-10-27 15:54:00,FLOW.mNB,1,2,10,15,192.168.120.5,2.6,774820480
2023-10-27 15:55:00,FLOW.mNB,1,2,10,15,192.168.120.5,2.8,774822040
2023-10-27 15:55:00,FLOW.mNB,1,2,10,15,192.168.120.5,2.8,774822040
2023-10-27 15:56:00,FLOW.mNB,1,2,10,15,192.168.120.5,2.9,774823616
2023-10-27 15:56:00,FLOW.mNB,1,2,10,15,192.168.120.5,2.9,774823616
2023-10-27 15:57:00,FLOW.mNB,1,2,10,15,192.168.120.5,3.1,774825194
2023-10-27 15:57:00,FLOW.mNB,1,2,10,15,192.168.120.5,3.1,774825194
2023-10-27 15:58:00,FLOW.mNB,1,2,10,15,192.168.120.5,3.3,774826725
2023-10-27 15:59:00,FLOW.mNB,1,2,10,15,192.168.120.5,3.3,774828306
2023-10-27 16:00:00,FLOW.mNB,1,2,10,15,192.168.120.5,3.5,774829866
2023-10-27 16:00:00,FLOW.mNB,1,2,10,15,192.168.120.5,3.5,774829866
2023-10-27 16:01:00,FLOW.mNB,1,2,10,15,192.168.120.5,3.7,774831442
2023-10-27 16:03:00,FLOW.mNB,1,2,10,15,192.168.120.5,3.7,774834578
2023-10-27 16:04:00,FLOW.mNB,1,2,10,15,192.168.120.5,3.8,774836158
2023-10-27 16:07:00,FLOW.mNB,1,2,10,15,192.168.120.5,3.8,774840821
2023-10-27 16:08:00,FLOW.mNB,1,2,10,15,192.168.120.5,4,774842377
2023-10-27 16:12:01,FLOW.mNB,1,2,10,15,192.168.120.5,4,774848672
2023-10-27 16:13:00,FLOW.mNB,1,2,10,15,192.168.120.5,4.2,774850230
2023-10-27 16:20:00,FLOW.mNB,1,2,10,15,192.168.120.5,4.2,774861224
2023-10-27 16:21:00,FLOW.mNB,1,2,10,15,192.168.120.5,4.6,774862807
2023-10-27 16:21:00,FLOW.mNB,1,2,10,15,192.168.120.5,4.6,774862807
2023-10-27 16:22:00,FLOW.mNB,1,2,10,15,192.168.120.5,6.6,774864339
2023-10-27 16:22:00,FLOW.mNB,1,2,10,15,192.168.120.5,6.6,774864339
2023-10-27 16:23:00,FLOW.mNB,1,2,10,15,192.168.120.5,7.1,774865921
2023-10-27 16:23:00,FLOW.mNB,1,2,10,15,192.168.120.5,7.1,774865921
2023-10-27 16:24:00,FLOW.mNB,1,2,10,15,192.168.120.5,7.5,774867480
2023-10-27 16:24:00,FLOW.mNB,1,2,10,15,192.168.120.5,7.5,774867480
2023-10-27 16:25:01,FLOW.mNB,1,2,10,15,192.168.120.5,7.7,774869062
2023-10-27 16:25:01,FLOW.mNB,1,2,10,15,192.168.120.5,7.7,774869062
2023-10-27 16:26:00,FLOW.mNB,1,2,10,15,192.168.120.5,7.9,774870621
2023-10-27 16:27:00,FLOW.mNB,1,2,10,15,192.168.120.5,7.9,774872202
2023-10-27 16:28:00,FLOW.mNB,1,2,10,15,192.168.120.5,8,774873736
2023-10-27 16:30:00,FLOW.mNB,1,2,10,15,192.168.120.5,8,774876851
2023-10-27 16:31:00,FLOW.mNB,1,2,10,15,192.168.120.5,8.2,774878427
2023-10-27 16:34:00,FLOW.mNB,1,2,10,15,192.168.120.5,8.2,774883144
2023-10-27 16:35:00,FLOW.mNB,1,2,10,15,192.168.120.5,8.4,774884704
2023-10-27 16:42:00,FLOW.mNB,1,2,10,15,192.168.120.5,8.4,774895711
2023-10-27 16:43:00,FLOW.mNB,1,2,10,15,192.168.120.5,8.6,774897269
2023-10-27 17:00:00,FLOW.mNB,1,2,10,15,192.168.120.5,8.6,774923983
2023-10-27 17:01:00,FLOW.mNB,1,2,10,15,192.168.120.5,8.8,774925540
2023-10-27 17:53:00,FLOW.mNB,1,2,10,15,192.168.120.5,8.8,775006955
2023-10-27 17:54:01,FLOW.mNB,1,2,10,15,192.168.120.5,8.9,775008685
